"country_area","year","value"
"Liechtenstein","2008","219.698915477856"
"Liechtenstein","2007","200.920107913985"
"Liechtenstein","2006","231.217305115884"
"Liechtenstein","2005","228.970323897819"
"Liechtenstein","2004","229.296321626453"
"Liechtenstein","2003","229.265875097937"
"Liechtenstein","2002","219.947204551546"
"Liechtenstein","2001","214.585310816839"
"Liechtenstein","2000","216.750456413769"
"Liechtenstein","1999","226.448838014394"
"Liechtenstein","1998","229.11710392684"
"Liechtenstein","1997","218.235372862382"
"Liechtenstein","1996","205.809089624326"
"Liechtenstein","1995","204.05592043076"
"Liechtenstein","1994","200.961153022994"
"Liechtenstein","1993","214.867690812009"
"Liechtenstein","1992","206.776032802858"
"Liechtenstein","1991","206.146706845605"
"Liechtenstein","1990","198.775112043709"
"Lithuania","2014","12732.798863701"
"Lithuania","2013","12987.8175314716"
"Lithuania","2012","13975.5232139658"
"Lithuania","2011","13919.0154984666"
"Lithuania","2010","13618.9126645228"
"Lithuania","2009","12727.12003622"
"Lithuania","2008","14963.2547162584"
"Lithuania","2007","15624.07633974"
"Lithuania","2006","14303.032680413"
"Lithuania","2005","13946.8843032497"
"Lithuania","2004","13185.4933655222"
"Lithuania","2003","12605.2382016521"
"Lithuania","2002","12614.4250089828"
"Lithuania","2001","12507.9666751041"
"Lithuania","2000","11801.964898672"
"Lithuania","1999","13422.1511465775"
"Lithuania","1998","15901.5175726569"
"Lithuania","1997","15086.2857611334"
"Lithuania","1996","15676.8310317989"
"Lithuania","1995","15022.5441346944"
"Lithuania","1994","15765.4147628091"
"Lithuania","1993","16347.1718255148"
"Lithuania","1992","21207.8873890696"
"Lithuania","1991","37908.6124957275"
"Lithuania","1990","35812.8936845412"
"Luxembourg","2014","9826.25327758284"
"Luxembourg","2013","10303.0396071267"
"Luxembourg","2012","10872.0644823704"
"Luxembourg","2011","11168.5116663343"
"Luxembourg","2010","11285.0274171344"
"Luxembourg","2009","10725.5221348792"
"Luxembourg","2008","11245.8724868627"
"Luxembourg","2007","11398.7059208596"
"Luxembourg","2006","11995.820174914"
"Luxembourg","2005","12130.9137942819"
"Luxembourg","2004","11871.1077184731"
"Luxembourg","2003","10443.3832173203"
"Luxembourg","2002","10068.1403163216"
"Luxembourg","2001","9311.91612729174"
"Luxembourg","2000","8798.1820808658"
"Luxembourg","1999","7986.15588056852"
"Luxembourg","1998","7619.36328997421"
"Luxembourg","1997","8530.7453454746"
"Luxembourg","1996","9217.19030053529"
"Luxembourg","1995","9155.85264991365"
"Luxembourg","1994","11560.5716944518"
"Luxembourg","1993","12375.507079302"
"Luxembourg","1992","12253.5715940463"
"Luxembourg","1991","12467.5131948589"
"Luxembourg","1990","11944.0073852812"
"Malta","2014","2483.5367864507"
"Malta","2013","2476.07442909592"
"Malta","2012","2868.63812814327"
"Malta","2011","2785.89656845722"
"Malta","2010","2690.51803520544"
"Malta","2009","2684.52129301397"
"Malta","2008","2822.40616690519"
"Malta","2007","2831.64226468627"
"Malta","2006","2776.31430670588"
"Malta","2005","2736.31293358517"
"Malta","2004","2604.74483182786"
"Malta","2003","2666.13432525932"
"Malta","2002","2464.21222943374"
"Malta","2001","2550.60406083421"
"Malta","2000","2414.28381121499"
"Malta","1999","2418.55556461069"
"Malta","1998","2338.06278770006"
"Malta","1997","2331.95473493565"
"Malta","1996","2329.18169821771"
"Malta","1995","2313.21608944717"
"Malta","1994","2302.77027658996"
"Malta","1993","2252.06276712832"
"Malta","1992","2174.6344662953"
"Malta","1991","2041.24609263112"
"Malta","1990","1860.47364818374"
"Monaco","2013","74.4309201897803"
"Monaco","2012","75.1655688427013"
"Monaco","2011","71.8818954508995"
"Monaco","2010","75.4682651256747"
"Monaco","2009","77.7719361035662"
"Monaco","2008","81.376901087813"
"Monaco","2007","82.7191922532151"
"Monaco","2006","82.1239180016564"
"Monaco","2005","88.7506912513649"
"Monaco","2004","90.2005037527358"
"Monaco","2003","95.2988549787458"
"Monaco","2002","98.1612757195457"
"Monaco","2001","98.5488680526432"
"Monaco","2000","98.3243559267737"
"Monaco","1999","100.659281930126"
"Monaco","1998","99.8168591352245"
"Monaco","1997","101.0844813444"
"Monaco","1996","102.31953844658"
"Monaco","1995","98.9904298934365"
"Monaco","1994","101.872636286934"
"Monaco","1993","100.881938455885"
"Monaco","1992","101.742603038854"
"Monaco","1991","96.1472045795796"
"Monaco","1990","95.3851833205759"
"Netherlands","2014","157789.581719585"
"Netherlands","2013","165475.88439356"
"Netherlands","2012","165665.023774753"
"Netherlands","2011","169792.136541403"
"Netherlands","2010","182529.786939532"
"Netherlands","2009","170796.156580042"
"Netherlands","2008","176174.418350642"
"Netherlands","2007","173178.420395882"
"Netherlands","2006","172772.892779103"
"Netherlands","2005","177540.473199828"
"Netherlands","2004","181546.25702136"
"Netherlands","2003","179867.888967448"
"Netherlands","2002","176462.400587543"
"Netherlands","2001","177037.401595998"
"Netherlands","2000","172059.812230581"
"Netherlands","1999","171228.109552445"
"Netherlands","1998","176617.168521043"
"Netherlands","1997","175487.970753103"
"Netherlands","1996","182573.582902116"
"Netherlands","1995","173196.297429017"
"Netherlands","1994","175008.703110698"
"Netherlands","1993","171497.891064769"
"Netherlands","1992","170975.242888508"
"Netherlands","1991","171081.473914794"
"Netherlands","1990","162497.559622722"
"New Zealand","2014","35616.9853050414"
"New Zealand","2013","35094.2867396817"
"New Zealand","2012","35621.0260193518"
"New Zealand","2011","34366.5826844218"
"New Zealand","2010","35017.2413542609"
"New Zealand","2009","34806.4020881589"
"New Zealand","2008","37674.0517694367"
"New Zealand","2007","36651.3714858119"
"New Zealand","2006","37519.1047271712"
"New Zealand","2005","37645.434299041"
"New Zealand","2004","36063.663329171"
"New Zealand","2003","36497.1710064703"
"New Zealand","2002","34768.2781829264"
"New Zealand","2001","34581.7227646535"
"New Zealand","2000","32355.957023316"
"New Zealand","1999","31523.1860916854"
"New Zealand","1998","29927.5013796907"
"New Zealand","1997","31363.4526194792"
"New Zealand","1996","29368.2649922759"
"New Zealand","1995","28143.4576273053"
"New Zealand","1994","27879.0592141093"
"New Zealand","1993","27697.2273476821"
"New Zealand","1992","28099.6999900939"
"New Zealand","1991","26108.064501553"
"New Zealand","1990","25419.7716716116"
"Norway","2014","43869.4510924803"
"Norway","2013","44309.0559727695"
"Norway","2012","44553.9656597819"
"Norway","2011","44946.8693532922"
"Norway","2010","45833.8920681508"
"Norway","2009","43212.0924688473"
"Norway","2008","44893.0941871551"
"Norway","2007","45842.8095311711"
"Norway","2006","43913.7448222241"
"Norway","2005","43548.2302876495"
"Norway","2004","44320.0048845842"
"Norway","2003","43906.7096554175"
"Norway","2002","42655.8748276072"
"Norway","2001","43530.3487635507"
"Norway","2000","42194.6191784625"
"Norway","1999","42691.7563679429"
"Norway","1998","41939.0379176034"
"Norway","1997","41683.1333687712"
"Norway","1996","41586.7085615304"
"Norway","1995","38464.9066615123"
"Norway","1994","38434.7651928654"
"Norway","1993","36520.7838206741"
"Norway","1992","34833.2478178252"
"Norway","1991","34070.978364376"
"Norway","1990","35694.8243978959"
"Poland","2014","310307.297357959"
"Poland","2013","322440.486501595"
"Poland","2012","326597.790549729"
"Poland","2011","333713.650695256"
"Poland","2010","334026.154705205"
"Poland","2009","315937.965878291"
"Poland","2008","329338.171084879"
"Poland","2007","336268.110889212"
"Poland","2006","336500.578934838"
"Poland","2005","323372.578397668"
"Poland","2004","324279.449842642"
"Poland","2003","320230.170467384"
"Poland","2002","307535.642199397"
"Poland","2001","315274.093567475"
"Poland","2000","319120.405105406"
"Poland","1999","329380.898350257"
"Poland","1998","339145.82962033"
"Poland","1997","368415.853280443"
"Poland","1996","377308.59613738"
"Poland","1995","363885.777573228"
"Poland","1994","362012.958757259"
"Poland","1993","366427.660913436"
"Poland","1992","365865.15951878"
"Poland","1991","375684.15694778"
"Poland","1990","378782.539166168"
"Portugal","2014","48353.6903302063"
"Portugal","2013","48495.550477338"
"Portugal","2012","50262.4224416189"
"Portugal","2011","52150.653443811"
"Portugal","2010","53583.8858598739"
"Portugal","2009","58004.1969738053"
"Portugal","2008","60550.0402031828"
"Portugal","2007","62791.1477666385"
"Portugal","2006","65465.41971559"
"Portugal","2005","70034.5294076015"
"Portugal","2004","67458.1591415789"
"Portugal","2003","64697.2992169906"
"Portugal","2002","69954.4945153443"
"Portugal","2001","66113.7557093707"
"Portugal","2000","66411.3299157974"
"Portugal","1999","67612.8118918815"
"Portugal","1998","59976.20991864"
"Portugal","1997","55454.2110573498"
"Portugal","1996","52348.4688110753"
"Portugal","1995","55134.3294664048"
"Portugal","1994","51303.2041493178"
"Portugal","1993","50502.1225996005"
"Portugal","1992","51850.5656733148"
